name,aff_no,state,district,address,pincode,ph_no,email,website,status
SUPREME PUBLIC SCHOOL,830298,KARNATAKA,MYSORE,"CA-25, DATTAGALLI, III STAGE, MYSORE.",560022,0354,supremepublicschool.sps@gmail.com,http://www.spschool.in,Secondary School
NAV JEEVAN MISSION SCHOOL,2131639,UTTAR PRADESH,DEORIA,ASHISHNAGAR SALEMPUR ROAD DEORIA,274001,,rajan211974@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA NO 2,2400029,WEST BENGAL,,A F S KALAI KUNDA WEST BENGAL,721303,,kv2kalaikunda@gmail.com,,Senior Secondary
"INDUS PUBLIC SCHOOL,",531264,HARYANA,KAITHAL,"DHAND ROAD, NEAR SUNCITY, KAITHAL",136027,,principalipsktl@gmail.com,http://www.induspublicschoolkaithal.in,Senior Secondary
KENDRIYA VIDYALAYA,3600021,TELANGANA,HYDERABAD,"UNIVERSITY OF HYDERABAD CAMPUS, C.R. RAO ROAD, GACHIBOWLI, HYDERABAD, ANDHRA PRADESH",500046,040,,,Senior Secondary
VIGNESH INTERNATIONAL SCHOOL,1930304,TAMILNADU,TIRUVANNAMALAI,"MELPUTHIYANDAL,
TIRUVANNAMALAI",606603,,lathaamurali.s@gmail.com,http://www.vigneshgroupofcolleges.com/,Senior Secondary
"SMT. JANKI DEVI MANDELIA CO EDUCATIONAL ENGISH MEDIUM SCHOOL,PILANI",1730538,RAJASTHAN,JHUNJHUNU,"CHIRAWA, PILANI, JHUNJHUNU",333031,080,jpathak@mandelia.edu.in,http://www.mandelia.edu.in,Senior Secondary
SARANG CONVENT SCHOOL,2130293,UTTAR PRADESH,BIJNOUR,"MADABAD ROAD, SEOHARA BIJNOR UTTAR PRADESH",246746,05662,sarangaconventachool@gmail.com,http://www.rampusgkp.g,Senior Secondary
PRESENTATION CONVENT HIGH SCHOOL,730027,JAMMU & KASHMIR,JAMMU,"GANDHI NAGAR, JAMMU, JAMMU & KASHMIR",180004,0191,hemabarretto@gmail.com,http://www.pcsjammu.g,Senior Secondary
S R DIGI SCHOOL,130007,ANDHRA PRADESH,VISAKHAPATNAM,ZINC SMELTER POST VISAKHAPATNAM ANDHRA PRADESH,530015,0891,murthyasrn@gmail.com,,Secondary School
SILVERMOUNT INTERNATIONAL SCHOOL,931044,KERALA,MALAPPURAM,"SILVER HILLS,
KAKOOTH,
PERINTHALMANNA,
MALAPPURAM DIST.",679322,,principal@silvermountschool.com,http://www.silvermountschool.com,Secondary School
LAKSHYA SINGAPORE INTERNATIONAL SCHOOL,2131989,UTTAR PRADESH,BIJNOUR,"LAKSHYA CAMPUS, 3KM MILE STONE,  MORADABAD-HARIDWAR STATE HIGHWAY,BAGWARA",246746,,lakshya.college@gmail.com,http://singapore.lakshyacollege.com,Secondary School
GOVT  SENIOR SECONDARY SCHOOL,2520046,ANDAMAN & NICOBAR,,KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS,744202,03192,rnr@andaman.tn.nic.in,,Senior Secondary
MODERN INDIAN SCHOOL,6230002,FOREIGN SCHOOLS,NEPAL,CHOBHAR G P O NO 1497 KATHMANDU NEPAL C/O FIRST SECY EMBASSY OF INDIA KATHMANDU NEPAL,,009771,rajupeter100@gmail.com,,Senior Secondary
ANAND VIDYA VIHAR,430042,GUJARAT,VADODARA (BARODA),"HAARINAGAR SOCIETY GOTRI ROAD VODODARA, GUJARAT",390023,0265,poornima510@yahoo.co.in,anandvidyavihar.net,Senior Secondary
SWAMI PRANAVANANDA VIDYA MANDIR,3530229,UTTARAKHAND,RUDRAPRAYAG,"UKHIMATH, DIST. RUDRAPRAYAG, UTTARAKHAND",246469,01744,chandrima_sarkar@yahoo.de,,Senior Secondary
TATHANGCHEN SECONDARY SCHOOL,1820078,SIKKIM,,TATHANGCHEN PO- RAJBHAWAN GANGTOK SIKKIM,737103,,,,Secondary School
VIKAS THE CONCEPT SCHOOL,3630054,TELANGANA,HYDERABAD,BACHUPALLY MIYARPUR HYDERABAD,500072,040,nseeneesn@gmail.com,,Senior Secondary
CHINMAYA INTERNATIONAL RESIDENTIAL SCHOOL,1930154,TAMILNADU,COIMBATORE,NALLUR VAYAL POST SIRUVANI ROAD COIMBATORE TAMIL NADU,641114,0422,principal@cirschool.org,http://www.cirschool.org,Senior Secondary
SACRED HEART SR. SEC. SCHOOL,1730595,RAJASTHAN,KOTA,1-C-7 TALWANDI,324005,,sacredheartkota@hotmail.com,,Senior Secondary
BANGALORE SCOTTISH SCHOOL,830354,KARNATAKA,BANGALORE,"24-39, SHREYAS COLONY, 
J P NAGAR 7TH PHASE, KOTHANOOR",560078,07272,anoos9945@gmail.com,,Secondary School
JAWAHAR NAVODAYA VIDYALAYA,240026,ASSAM,DHUBRI,VILLAGE & PO- ALOMGANJ PARTIX DHUBRI ASSAM 78339,783331,03662,scramchiary@gmail.com,,Senior Secondary
MAA VAISHNO MODERN PUBLIC SCHOOL,2131496,UTTAR PRADESH,SONEBHADRA,"BRAHMNAGAR, ROBERTSGANJ, SONEBHADRA,",231216,,sushlipandeyrbj@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,2400049,WEST BENGAL,,RAIGANJ BN BSF GOVINDPUR PO MIRUAL UTTAR DINAJPUR WEST BENGAL,733130,03222,kprasadpgt1@gmail.com,http://www.kvno1afskkd.g,Senior Secondary
L.P.SAVANI INTERNATIONAL SCHOOL,430178,GUJARAT,SURAT,"T.P.-10,L.P.SAVANI GAURAVPATH ROAD, PAL, ADAJAN,",394510,,shrivastavrajiv@yahoo.com,http://www.lpsvsurat.org,Senior Secondary
VIDYA MANDIR SR SECONDARY SCHOOL,3530161,UTTARAKHAND,HARIDWAR,SECTOR V BHEL RANIPUR HARDWAR UTTARANCHAL,249403,01334,schopra1960@gmail.com,,Senior Secondary
GOVT SEC SCHOOL,1820015,SIKKIM,EAST DISTRICT,SINGTAM EAST SIKKIM,737132,03595,kbcsgt@gmail.com,,Senior Secondary
SRI VENKATESHWARA INTERNATIONAL SCHOOL,1930327,TAMILNADU,PERIYAR,"SRI VIDHYA NAGAR,
OTHAKUTHIRAI (PO),GOBI T.K
ERODE-(PERIYAR)-D.T
TAMILNADU",638476,,principalsvisss@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,800023,KARNATAKA,BANGALORE,"C V RAMAN NAGAR D.R.D.O COMPLEX C V RAMAN NAGAR , BANGALORE KARNATAKA",560093,080,nutanpunj24@yahoo.co.in,,Senior Secondary
GOVT HIGH SCHOOL,2620061,CHANDIGARH,,SECT 38B CHANDIGARH,160,0172,nirmalbalwinder@gmail.com,,Secondary School
SKY VALLEY INTERNATIONAL SCHOOL,2131926,UTTAR PRADESH,KANPUR,"POKHARPUR, KANPUR NAGAR",208010,,principalsvis007@gmail.com,http://www.skyvalleyinternational.com,Senior Secondary
TARAPADA SARANGI DAV PUBLIC SCHOOL,3430255,JHARKHAND,EAST SINGHBHUM,"NH - 33, BAHARAGORA",832101,0547,tpsdavbhrgora@yahoo.in,,Senior Secondary
MORNING STAR SCHOOL,1030066,MADHYA PRADESH,GWALIOR,NEW KRISHNA NAGAR GOLE KA MANDIR GWALIOR MADHYA PRADESH,474001,0751,school.morningstar@gmail.com,,Senior Secondary
"CAMBRIDGE CONVENT HIGH SCHOOL, KOT ISE KHAN",1631137,PUNJAB,MOGA,V.P.O.KOT ISE KHAN DISTT. MOGA,142043,,sanjaychgh@gmail.com,http://www.cambridgeschoolkik.com,Secondary School
MUBARAK ENGLISH SCHOOL,930263,KERALA,MALAPPURAM,MANJERI COLLEGE PO MALAPPURAM KERALA,676122,0483,ayubwynad@gmail.com,http://www.mubarakenglishschool.,Senior Secondary
KENDRIYA VIDYALAYA,1100035,MAHARASHTRA,CHANDRAPUR,W C L.  DURGAPUR DIST CHANDRAPUR MAHARASTRA,442404,07172,go4rkamble@gmail.com,http://kvsecljamuna.com,Senior Secondary
GOVT HR SEC SCHOOL,2220015,ARUNACHAL PRADESH,,TAWANG DT- TAWANG ARUNACHAL PRADESH,790104,,sharmabinodk@gmail.com,,Senior Secondary
GOVT BOYS SEC SCHOOL,2752090,DELHI,,MUSTAFABAD DELHI,110094,011,kps.150755@gmail.com,,Secondary School
GURU TEGH BAHADUR PUBLIC SCHOOL,2730136,DELHI,NORTH WEST DELHI,"BEHIND M BLOCK C-19 ZONE  MODEL TOWN, DISTT NORTH WEST DELHI",110009,011,pplgtb@gmail.com,http://www.gtbpschool.com,Senior Secondary
RND EDUCATION CENTRE,2132398,UTTAR PRADESH,KANPUR,"184 HATHIPUR MOD, MAHARAJPUR",209402,,rndeducationcentre@gmail.com,http://www.rndeducationcentre.com,Secondary School
GOVT BOYS SEC SCHOOL,2752051,DELHI,,MANDOLI ROAD ASHOK NAGAR SHAHDARA DELHI,110093,25314900,brjplsingh0@gmail.com,,Secondary School
NARMADA VALLEY INTERNATIONAL SCHOOL,1030528,MADHYA PRADESH,HOSHANGABAD,BABAI TOLL NAKA HOSHANGABAD DIST.HOSHANGABAD,461001,,ujjwaldutta1966@gmail.com,http://www.narmadavalley.com,Senior Secondary
MANSAROWAR VIDYALAYA,3330246,CHATTISGARH,DURG,JANJGIRI-BMY,490025,,mansarowarvidyalaya@gmail.com,,Secondary School
ADARSH VIDYA MANDIR,1730119,RAJASTHAN,,"SHANKAR VIDYA PEETH, MOUNT ABU, RAJASTHAN",307501,02974,dheerajshipra@gmail.com,,Senior Secondary
DEVAGIRI CMI PUBLIC SCHOOL,930695,KERALA,KOZHIKODE,DEVAGIRI COLLEGE KOZHIKODE DISTT KERALA,673008,0495,jkanjirathinkal@gmail.com,,Senior Secondary
MANEERS VISHWASHANTI GURUKUL NIVASI SCHOOL,1130434,MAHARASHTRA,SHOLAPUR,"AT.POST WAKHARI,AKLUJ-PANDHARPUR ROAD,DIST SOLAPUR",413304,,principal.pandharpur@mitvgschools.edu.in,http://www.mitvgschools.edu.in,Secondary School
KENDRIYA VIDYALAYA NO.4,1700039,RAJASTHAN,JAIPUR,JHOTWARA ARMY AREA JAIPUR CANTT RAJASTHAN,302012,0141,kv4jaipur@gmail.com,,Senior Secondary
UNIVERSAL PUBLIC SCHOOL RAMANAGARA,830707,KARNATAKA,BANGALORE,111/2 B.M ROAD ARCHARKARHALLIRAMANAGARA,562159,,tadas1@rediff.com,,Secondary School
R B C CHILDREN ACADEMY,2132739,UTTAR PRADESH,VARANASI,KHARUPUR NARAYANPUR CHAUBEYPUR,221104,,rbccschool@rediffmail.com,,Secondary School
MAHARANA PRATAP MODEL PUBLIC SCHOOL,2730688,DELHI,NORTH EAST DELHI,"SUKKAR BAZAR ROAD, HARSH VIHAR, DELHI-93",110093,,mpmp.school@gmail.com,,Secondary School
SREE KUMARAMANGALAM PUBLIC SCHOOL .,930846,KERALA,KOTTAYAM,KUMARAKOM P.O. KOTTAYAM DISTT.,686563,,samithabaiju@gmail.com,,Secondary School
M.K. SHETTY SCHOOL,830636,KARNATAKA,MANGALORE,"KALLABETTU VILLAGE MOODABIDRI MANGALORE DASGUBA KANNADA, KARNATAKA",574227,,nishmithbnish@gmail.com,,Secondary School
CITY PUBLIC SCHOOL,2130634,UTTAR PRADESH,GAUTAM BUDH NAGAR,"E 3 SECTOR 61 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH",201301,0120,citypublicschool_2006@yahoo.com,,Senior Secondary
HRD SCHOOL OF EXCELLENCE,3630174,TELANGANA,NALGONDA,"DINDI ROAD, DEVARAKONDA",508248,,hrdschooldvk@gmail.com,http://www.hrdschools.com,Secondary School
BHAGAT SINGH PUBLIC SCHOOL,531493,HARYANA,KARNAL,V.P O NIGDHU,132157,,bspsngd@gmail.com,,Middle Class
JSM PUBLIC SCHOOL,2131777,UTTAR PRADESH,FARRUKHABAD,"BANKHADIA, FATEHGARH, FARRUKHABAD",209601,,jsmpublicschool@yahoo.co.in,,Senior Secondary
D A V PUBLIC SCHOOL,3330037,CHATTISGARH,KORIYA,SECL BARTUNGA CHIRIMIRI DISTT KOREA CHHATTISGARH,497449,07771,mollika.mukherjee@gmail.com,na,Senior Secondary
"PODAR INTERNATIONAL SCHOOL, VIJAY NAGAR, INDORE",1030859,MADHYA PRADESH,INDORE,"SCHEME 74, SECTOR A, VIJAY NAGAR, INDORE",452001,,principal.indore@podar.org,http://www.podareducation.org/school/indore,Secondary School
SARVODAYA BAL VIDYALAYA NO I,2756060,DELHI,WEST DELHI,MADIPUR NEW DELHI,110063,011,umeshdattojha@gmail.com,,Senior Secondary
LUCKNOW PUBLIC SCHOOL,2132254,UTTAR PRADESH,UNNAO,"SECTOR-B, PRIYADARSHINI NAGAR YOJNA, UNNAO",209801,,lpgsunnao@gmail.com,http://www.lpgs.co.in,Secondary School
JAIN SR SEC SCHOOL,2778042,DELHI,,DARYAGANJ NEW DELHI,110002,25314900,jainschool@yahoo.com,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,140008,ANDHRA PRADESH,NELLORE,KRISHNAPURAM VILL & PO MARRIPADU MANDAL  NELLORE DISTT. ANDHRA PRADESH,524230,08620,nprajan1990@gmail.com,http://www.jnvnellore.org,Senior Secondary
KENDRIYA VIDYALAYA,1000075,MADHYA PRADESH,VIDISHA,SANCHI ROAD VIDISHA MADHYA PRADESH,464001,07592,pandaditya2908@gmail.com,,Senior Secondary
K.M.PUBLIC SCHOOL,2131018,UTTAR PRADESH,AGRA,"KIRAWALI,AGRA",282010,06792,,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,940013,KERALA,THIRUVANANTHAPURAM,CHETTACHAL PO VITHURA THIRUVANTHAPURAM KERALA,695551,0472,kspjnv@yahoo.co.in,,Senior Secondary
ALCHEMIST ACADEMY,3530311,UTTARAKHAND,UDHAM SINGH NAGAR,"KHETALSANDA KHAM, KHATIMA, U.S.NAGAR",262308,011,alchemistse@rediffmail.com,,Secondary School
TAGORE SR. SEC. SCHOOL,531037,HARYANA,KARNAL,"TAGORE SR. SEC. SCHOOL.
V.P.O.SANDHIR
TEH.NILOKHRI 
DISTT. KARNAL",132001,,vkhorda@gmail.com,,Senior Secondary
"RAJKIYA PRATIBHA VIKAS VIDYALAYA,",2760102,DELHI,,"PHASE-II, SECT-21, ROHINI, DELHI-110086",,,narendra.521974@gmail.com,,Senior Secondary
SHEMFORD SCHOOL,2131823,UTTAR PRADESH,MIRZAPUR,"NATWA ROAD, DISTT MIRZAPUR, UTTAR PRADESH",231001,,principal@mirzapur-shemford.com,http://www.shemford.com/school-admission-mirzapur,Senior Secondary
CAMBRIDGE INTERNATIONAL SCHOOL,1630931,PUNJAB,NAWANSHAHR,KARIHA BANGA NAWANSHAHR ROAD,144508,,soniawaliapaul@gmail.com,http://www.cambridgenawanshahr.com,Senior Secondary
ALPHONSA CENTRAL SCHOOL,930892,KERALA,KANNUR,"EDAT P.O, PAYYANNUR, KANNUR DISTRICT, PIN- 670 327",670327,,srpreethidm707@gmail.com,,Secondary School
BLACK DIAMOND PUBLIC SCHOOL,1530177,ODISHA,JHARSUGUDA,"POST BOX NO-21
BRAJRAJNAGAR",768216,,principalbdpsbrjn@gmail.com,http://www.blackdiamond.org.in,Secondary School
KIKANI VIDHYA MANDIR,1930398,TAMILNADU,COIMBATORE,"NO.9, RANGASWAMY ROAD, R.S.PURAM, COIMBATORE, TAMILNADU",641002,,gee_5678@yahoo.co.in,http://www.kikanischools.org,Senior Secondary
LITTLE FLOWER HOUSE SENIOR SECONDARY SCHOOL,2131347,UTTAR PRADESH,VARANASI,"N 1/12
NAGWA,VARANASI",221005,,lfhamitasingh@gmail.com,,Senior Secondary
CORDOVA PUBLIC SCHOOL,930139,KERALA,THIRUVANANTHAPURAM,CORDOVA NAGAR NH BY PASS POONTHURA PO THIRUVANTHAPURAM KERALA,695026,0471,cordovasssprincipal@gmail.com,,Senior Secondary
MILTON PUBLIC SCHOOL,2130213,UTTAR PRADESH,AGRA,ASHOK VIHAR KEDAR NAGAR SHAHGANJ  AGRA UTTAR PRADESH,282010,0562,prachirajkul@gmail.com,,Senior Secondary
R.K.S.D. PUBLIC SCHOOL,530270,HARYANA,KAITHAL,AMBALA ROAD KATHAL HARYANA,136027,01398,preeti64sharma@gmail.com,http://www.doonpublicschool.org,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,2140042,UTTAR PRADESH,,NAGIL JALALPUR DISTT KANPUR DEHAT UTTAR PRADESH,209311,05111,bhakta.yogendra@gmail.com,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,340022,BIHAR,GOPALGANJ,"PO BALESARA, VIA MIRGANJ,  GOPALGANJ BIHAR",841438,08966,haidersyedwasi9@gmail.com,,Senior Secondary
S.K.P. VIDYA VIHAR,330150,BIHAR,BHAGALPUR,MANDROZA JAGDISHPUR BHAGALPUR BIHAR,812002,0641,skpvv@rediffmail.com,,Senior Secondary
DIVINE INTERNATIONAL SCHOOL,2132666,UTTAR PRADESH,RAMPUR,"VILL- GADA,6TH KM STONE , MATKHERA ROAD , BILASPUR , POST&TEHSIL BILASPUR, DISTT- RAMPUR , UTTARPRADESH",244924,,sikanderjeetsingh@ymail.com,http://www.divineinternationalschool.com,Secondary School
LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL,1630676,PUNJAB,MOHALI,"LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL, NEAR RAILWAY CROSSING, DERA BASSI, SAS NAGAR, DISTT MOHALI, PUNJAB",140507,,nandra.geeta100@gmail.com,,Senior Secondary
SWAMI VIVEKANAND INTERNATIONAL SCHOOL,1130322,MAHARASHTRA,WARDHA,"NEAR CHINMAY MISSION, CANAL ROAD, PAWNAR",442001,,mrsmadhavimurthy@gmail.com,http://www.svisonline.org,Secondary School
KENDRIYA VIDYALAYA,200010,ASSAM,KOKRAJHAR,B R P L BONGAIGAON DHALIGAON DT- KOKRAJHAR ASSAM,783385,,kencrestschool@yahoo.com,http://www.kencrestinternationalschool.com,Senior Secondary
INDIAN EXCELLENT PVT. SCHOOL,6630061,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,"PO BOX 40194, SHARJAH,U.A.E.",,0385,mangalaies@gmail.com,,Senior Secondary
HARYANA PUBLIC SCHOOL,530646,HARYANA,MAHINDERGARH,"NANGAL CHOUDHARY ROAD, DISTT MAHINDERGARH, HARYANA",123001,,haryanapublicscho@gmail.com,http://www.bpsnarnaul.co.in,Senior Secondary
GAURAV AWASIYA UCHYA VIDALAY,3430344,JHARKHAND,BOKARO,"BANSHIIH,CHAS,",827013,,bkscbhu@rediffmail.com,,Secondary School
ARMY PUBLIC SCHOOL,2180019,UTTAR PRADESH,JHANSI,BABINA CANTT DISTT JHANSI UTTAR PRADESH,284401,0510,armyschool3@yahoomail.com,,Senior Secondary
"VJ INTERNATIONAL SCHOOL,",330534,BIHAR,BHAGALPUR,"LODHIPUR, GORADIH ROAD, BHAGALPUR",812001,,vjis@outlook.com,,Senior Secondary
M R CITI PUBLIC SCHOOL,1630222,PUNJAB,NAWANSHAHR,BALACHAUR DISTT NAWANSHAR PUNJAB,144521,01885,mr.bhanot@yahoo.in,,Senior Secondary
LATE M.L. CHAURASIA PUBLIC SCHOOL,1030999,MADHYA PRADESH,REWA,"KHAMA, GUR, REWA",486001,,mlcps@rediffmail.com,http://mlcps.in,Secondary School
VIDYA NIKETAN,330207,BIHAR,PATNA,"P.O. SARAI MANER, DANAPUR, PATNA, BIHAR",801113,06115,vinay.kumar93341@gmail.com,,Senior Secondary
SILVER VATIKA PUBLIC SCHOOL,1630531,PUNJAB,MANSA,"BHIKHI-BARNALA ROAD, SAMAON ( DISTT. MANSA)",151504,011,silvervatika2001@gmail.com,,Senior Secondary
PARAM PUBLIC SCHOOL,2131405,UTTAR PRADESH,BIJNOUR,"6,KM,NAJIBABAD ROAD",246701,05452,shobhit.gupta1@gmail.com,http://www.almamater.edu.in,Senior Secondary
AMARNATH VIDYA ASHRAM SR SEC PUBLIC SCHOOL,2130056,UTTAR PRADESH,MATHURA,"DISTT MATHURA, UTTAR PRADESH",281006,07103,aditya_vajpeyi@rediffmail.com,,Senior Secondary
VENUS PUBLIC SCHOOL,1030310,MADHYA PRADESH,GWALIOR,ANAND NAGAR JIWAJI GANJ LASHKAR GWALIOR MADHYA PRADESH,474012,0751,gamrita200@gmail.com,http://www.kvpindore.org,Senior Secondary
MAHARISHI VIDYA MANDIR,530328,HARYANA,AMBALA,SHEIKH MAJRA AMBALA HARYANA,134003,05965,atulsharma2777@gmail.com,,Senior Secondary
ST. MARY'S HR. SEC. SCHOOL,1030466,MADHYA PRADESH,KHARGAON,"NARMADA ROAD, BEHIND GOVT. COLLEGE, BARWAHA",451115,01482,principalsmsbarw@gmail.com,,Senior Secondary
S S GYAN BHARTI,330669,BIHAR,MADHUBANI,"AMBEDKAR CHOWK , BEHTA , BENIPATTI",847223,,reetajha1973@gmail.com,,Secondary School
DEVSTHALY VIDYAPEETH,2130238,UTTAR PRADESH,BALIA,DEVSTHALY P.O. CHILKAHAR DISTT. BALLIA UTTAR PRADESH,221711,05491,principaldvp@gmail.com,,Senior Secondary
POLICE DAV PUBLIC SCHOOL,1630154,PUNJAB,,JALANDHAR CANTT PUNJAB,144006,6450368,rashmi_vij@rediffmail.com,,Senior Secondary
SREE ARUNODAYA VIDYA NIKETHAN,930436,KERALA,MALAPPURAM,DOWN HILL MALAPPURAM KERALA,676519,0493,lakshmiiyer1203@gmail.com,http://www.suprabhat.ac,Secondary School
LHL CBSE SCHOOL,1930804,TAMILNADU,KANYAKUMARI,"LHL NAGAR,
VISVASAPURAM,
THOVALAI",629302,,lhlcbseschool@gmail.com,http://www.lhlcbseschool.com,Middle Class
JAWAHAR NAVODAYA VIDYALAYA,640003,HIMACHAL PRADESH,MANDI,PANDOH MANDI DISTT HIMACHAL PRADESH,175124,040,rajratan410@gmail.com,,Senior Secondary
SHIV SHAKTI LUXMI MEMORIAL HIGH SCHOOL,530781,HARYANA,YAMUNANAGAR,"CHOPRA GARDEN YAMUNA NAGAR, HARYANA-135001",135001,01732,gulatilovie@yahoo.in,,Secondary School
BHAGWAT VIDYAPEETH,330171,BIHAR,SARAN (CHAPRA),RUSSI CHHAWNI BHAGWAN BAZAR CHHAPRA SARAN BIHAR,841301,06152,aksinha16754@gmail.com,,Senior Secondary
MOTHER INDIA PUBLIC SCHOOL,2132683,UTTAR PRADESH,GHAZIABAD,JALALPUR - SHOBHAPUR ROAD MURADNAGAR GHAZIABAD,201206,,jyotsna.mips@gmail.com,,Secondary School
GOVT HIGHER SEC SCHOOL,3320157,CHATTISGARH,,BALKO KORBA CHHATTISGARH,,,,,Senior Secondary
BANSIDHAR MEMORIAL GIRLS SR SEC SCH,2788008,DELHI,,PAHARI DHIRAJ DELHI,110006,011,kusumlata87569@gmail.com,,Senior Secondary
